countyfips,STNAME,CTYNAME,TOT_POP,PercentHBAC,dens2010,Eq Type,turnout
1093,Alabama,Marion County,29763,0.0017135369418405403,41.46,Paper ballot,0.43258014827382274
1095,Alabama,Marshall County,96109,0.00780363961751761,164.39,Paper ballot,0.43258014827382274
1097,Alabama,Mobile County,413757,0.004205366918263618,335.92,Paper ballot,0.43258014827382274
1099,Alabama,Monroe County,21067,0.003180329425167323,22.49,Paper ballot,0.43258014827382274
1101,Alabama,Montgomery County,225763,0.005713956671376621,292.46,Paper ballot,0.43258014827382274
1103,Alabama,Morgan County,119089,0.00476954210716355,206.25,Paper ballot,0.43258014827382274
1105,Alabama,Perry County,9140,0.004157549234135667,14.72,Paper ballot,0.43258014827382274
1107,Alabama,Pickens County,19938,0.004112749523522921,22.4,Paper ballot,0.43258014827382274
1109,Alabama,Pike County,33338,0.004349391085248065,48.95,Paper ballot,0.43258014827382274
1111,Alabama,Randolph County,22725,0.0019801980198019802,39.47,Paper ballot,0.43258014827382274
1113,Alabama,Russell County,57781,0.01152628026513906,82.58,Paper ballot,0.43258014827382274
1115,Alabama,St. Clair County,88690,0.0017702108467696472,132.29,Paper ballot,0.43258014827382274
1117,Alabama,Shelby County,215707,0.0022437843927179,248.54,Paper ballot,0.43258014827382274
1119,Alabama,Sumter County,12691,0.003861003861003861,15.23,Paper ballot,0.43258014827382274
1121,Alabama,Talladega County,79828,0.003369744951646039,111.69,Paper ballot,0.43258014827382274
1123,Alabama,Tallapoosa County,40497,0.004741091932735758,58.08,Paper ballot,0.43258014827382274
1125,Alabama,Tuscaloosa County,208911,0.0028002355069862285,147.27,Paper ballot,0.43258014827382274
1127,Alabama,Walker County,63711,0.0017108505595580042,84.71,Paper ballot,0.43258014827382274
1129,Alabama,Washington County,16378,0.002320185614849188,16.28,Paper ballot,0.43258014827382274
1131,Alabama,Wilcox County,10627,0.005834195916062859,13.13,Paper ballot,0.43258014827382274
1133,Alabama,Winston County,23660,0.0015638207945900253,39.94,Paper ballot,0.43258014827382274
2013,Alaska,Aleutians East Borough,3515,0.013655761024182077,0.45,Paper and DRE with paper trail,0.43406966193552604
2016,Alaska,Aleutians West Census Area,5723,0.006989341254586755,1.27,Paper and DRE with paper trail,0.43406966193552604
2020,Alaska,Anchorage Municipality,291538,0.010228512235111719,171.19,Paper and DRE with paper trail,0.43406966193552604
2050,Alaska,Bethel Census Area,18216,0.0006038647342995169,0.42,Paper and DRE with paper trail,0.43406966193552604
2060,Alaska,Bristol Bay Borough,877,0.00798175598631699,1.98,Paper and DRE with paper trail,0.43406966193552604
2068,Alaska,Denali Borough,2059,0.0009713453132588635,0.14,Paper and DRE with paper trail,0.43406966193552604
2070,Alaska,Dillingham Census Area,5000,0.0016,0.26,Paper and DRE with paper trail,0.43406966193552604
2090,Alaska,Fairbanks North Star Borough,98971,0.007729536935061786,13.3,Paper and DRE with paper trail,0.43406966193552604
2100,Alaska,Haines Borough,2474,0.0016168148746968471,1.08,Paper and DRE with paper trail,0.43406966193552604
2105,Alaska,Hoonah-Angoon Census Area,2151,0.001394700139470014,3.26,Paper and DRE with paper trail,0.43406966193552604
2110,Alaska,Juneau City and Borough,32113,0.004515305328060287,4.16,Paper and DRE with paper trail,0.43406966193552604
2122,Alaska,Kenai Peninsula Borough,58533,0.0024943194437325954,20.5,Paper and DRE with paper trail,0.43406966193552604
2130,Alaska,Ketchikan Gateway Borough,13918,0.0028021267423480383,0.84,Paper and DRE with paper trail,0.43406966193552604
2150,Alaska,Kodiak Island Borough,13345,0.005020606968902211,2.8,Paper and DRE with paper trail,0.43406966193552604
2164,Alaska,Lake and Peninsula Borough,1587,0.0,0.25,Paper and DRE with paper trail,0.43406966193552604
2170,Alaska,Matanuska-Susitna Borough,107610,0.0027692593625127777,3.76,Paper and DRE with paper trail,0.43406966193552604
2180,Alaska,Nome Census Area,10008,0.001398880895283773,0.39,Paper and DRE with paper trail,0.43406966193552604
2185,Alaska,North Slope Borough,9872,0.0015194489465153972,0.41,Paper and DRE with paper trail,0.43406966193552604
2188,Alaska,Northwest Arctic Borough,7671,0.005866249511145874,0.08,Paper and DRE with paper trail,0.43406966193552604
2195,Alaska,Petersburg Borough,3221,0.0040360136603539275,7.22,Paper and DRE with paper trail,0.43406966193552604
2198,Alaska,Prince of Wales-Hyder Census Area,6422,0.0015571473061351605,9.46,Paper and DRE with paper trail,0.43406966193552604
2220,Alaska,Sitka City and Borough,8647,0.002544234994795883,0.25,Paper and DRE with paper trail,0.43406966193552604
2230,Alaska,Skagway Municipality,1148,0.0,1.61,Paper and DRE with paper trail,0.43406966193552604
2240,Alaska,Southeast Fairbanks Census Area,6918,0.005782017924255565,2.14,Paper and DRE with paper trail,0.43406966193552604
2261,Alaska,Valdez-Cordova Census Area,9164,0.004037538192928852,2.46,Paper and DRE with paper trail,0.43406966193552604
2275,Alaska,Wrangell City and Borough,2503,0.0,4.22,Paper and DRE with paper trail,0.43406966193552604
2282,Alaska,Yakutat City and Borough,604,0.0,1.46,Paper and DRE with paper trail,0.43406966193552604
2290,Alaska,Yukon-Koyukuk Census Area,5327,0.0016895062887178525,0.23,Paper and DRE with paper trail,0.43406966193552604
4001,Arizona,Apache County,71818,0.0012253195577710324,2.09,Paper and DRE with paper trail,0.3530065891494931
4003,Arizona,Cochise County,126770,0.009284531040466988,7.69,Paper and DRE with paper trail,0.3530065891494931
4005,Arizona,Coconino County,142854,0.003283072227589007,52.89,Paper and DRE with paper trail,0.3530065891494931
4007,Arizona,Gila County,53889,0.0030247360314721,7.01,Paper and DRE with paper trail,0.3530065891494931
4009,Arizona,Graham County,38072,0.004832948098339987,0.26,Paper and DRE with paper trail,0.3530065891494931
4011,Arizona,Greenlee County,9483,0.006643467257197089,0.75,Paper and DRE with paper trail,0.3530065891494931
4012,Arizona,La Paz County,21098,0.005166366480235093,3.32,Paper and DRE with paper trail,0.3530065891494931
4013,Arizona,Maricopa County,4410824,0.010977087274395895,205.01,Paper and DRE with paper trail,0.3530065891494931
4015,Arizona,Mohave County,209550,0.0035313767597232163,42.07,Paper and DRE with paper trail,0.3530065891494931
4017,Arizona,Navajo County,110445,0.003042238218117615,23.24,Paper and DRE with paper trail,0.3530065891494931
4019,Arizona,Pima County,1039073,0.01108006848411998,531.85,Paper and DRE with paper trail,0.3530065891494931
4021,Arizona,Pinal County,447138,0.009905219417718915,83.51,Paper and DRE with paper trail,0.3530065891494931
4023,Arizona,Santa Cruz County,46511,0.006923093461761734,5.15,Paper and DRE with paper trail,0.3530065891494931
4025,Arizona,Yavapai County,231993,0.002827671524571862,15.85,Paper and DRE with paper trail,0.3530065891494931
4027,Arizona,Yuma County,212128,0.010550233821089154,19.67,Paper and DRE with paper trail,0.3530065891494931
5001,Arkansas,Arkansas County,17769,0.004727334121222354,2.07,Paper and DRE with paper trail,0.3720419124849992
5003,Arkansas,Ashley County,20046,0.004838870597625462,4.07,Paper and DRE with paper trail,0.3720419124849992
5005,Arkansas,Baxter County,41619,0.0009370720103798745,33.56,Paper and DRE with paper trail,0.3720419124849992
5007,Arkansas,Benton County,272608,0.003000645615682592,27.25,Paper and DRE with paper trail,0.3720419124849992
5009,Arkansas,Boone County,37480,0.0010672358591248667,6.69,Paper and DRE with paper trail,0.3720419124849992
5011,Arkansas,Bradley County,10897,0.005230797467192805,11.64,Paper and DRE with paper trail,0.3720419124849992
5013,Arkansas,Calhoun County,5277,0.0020845177184006065,5.8,Paper and DRE with paper trail,0.3720419124849992
5015,Arkansas,Carroll County,28223,0.0033306168727633492,49.52,Paper and DRE with paper trail,0.3720419124849992
5017,Arkansas,Chicot County,10438,0.009292968001532861,13.93,Paper and DRE with paper trail,0.3720419124849992
5019,Arkansas,Clark County,22061,0.0042609129232582385,38.96,Paper and DRE with paper trail,0.3720419124849992
5021,Arkansas,Clay County,14847,0.0007408904155721695,24.77,Paper and DRE with paper trail,0.3720419124849992
5023,Arkansas,Cleburne County,24965,0.0012016823552974164,41.32,Paper and DRE with paper trail,0.3720419124849992
5025,Arkansas,Cleveland County,8018,0.0018707907208780244,13.79,Paper and DRE with paper trail,0.3720419124849992
5027,Arkansas,Columbia County,23537,0.00620299953265072,38.11,Paper and DRE with paper trail,0.3720419124849992
5029,Arkansas,Conway County,20891,0.002201905126609545,24.56,Paper and DRE with paper trail,0.3720419124849992
5031,Arkansas,Craighead County,108558,0.0028095580242819508,150.82,Paper and DRE with paper trail,0.3720419124849992
5033,Arkansas,Crawford County,63406,0.0029965618395735418,111.88,Paper and DRE with paper trail,0.3720419124849992
5035,Arkansas,Crittenden County,48342,0.004199247031566753,85.15,Paper and DRE with paper trail,0.3720419124849992
5037,Arkansas,Cross County,16676,0.001918925401775006,23.33,Paper and DRE with paper trail,0.3720419124849992
5039,Arkansas,Dallas County,7182,0.001670843776106934,14.7,Paper and DRE with paper trail,0.3720419124849992
5041,Arkansas,Desha County,11512,0.01250868658790827,18.39,Paper and DRE with paper trail,0.3720419124849992
5043,Arkansas,Drew County,18328,0.002291575731121781,31.21,Paper and DRE with paper trail,0.3720419124849992
5045,Arkansas,Faulkner County,124806,0.002395718154575902,185.71,Paper and DRE with paper trail,0.3720419124849992
5047,Arkansas,Franklin County,17810,0.001347557551937114,29.41,Paper and DRE with paper trail,0.3720419124849992
5049,Arkansas,Fulton County,12269,0.0004075311761349743,18.35,Paper and DRE with paper trail,0.3720419124849992
5051,Arkansas,Garland County,99154,0.003005425903140569,125.01,Paper and DRE with paper trail,0.3720419124849992
5053,Arkansas,Grant County,18188,0.0024741587860127555,21.55,Paper and DRE with paper trail,0.3720419124849992
5055,Arkansas,Greene County,45325,0.001081081081081081,64.97,Paper and DRE with paper trail,0.3720419124849992
5057,Arkansas,Hempstead County,21741,0.0072673750057495054,37.13,Paper and DRE with paper trail,0.3720419124849992
5059,Arkansas,Hot Spring County,33701,0.0027002166107830627,53.26,Paper and DRE with paper trail,0.3720419124849992
5061,Arkansas,Howard County,13341,0.00599655198261,20.34,Paper and DRE with paper trail,0.3720419124849992
5063,Arkansas,Independence County,37678,0.0018047667073623865,58.0,Paper and DRE with paper trail,0.3720419124849992
5065,Arkansas,Izard County,13593,0.0005885382182005444,23.71,Paper and DRE with paper trail,0.3720419124849992
5067,Arkansas,Jackson County,16811,0.0029742430551424662,24.74,Paper and DRE with paper trail,0.3720419124849992
5069,Arkansas,Jefferson County,68114,0.0040667116892268845,125.87,Paper and DRE with paper trail,0.3720419124849992
5071,Arkansas,Johnson County,26742,0.006917956772118764,43.39,Paper and DRE with paper trail,0.3720419124849992
5073,Arkansas,Lafayette County,6682,0.004040706375336726,10.01,Paper and DRE with paper trail,0.3720419124849992
5075,Arkansas,Lawrence County,16434,0.0004867956675185591,30.0,Paper and DRE with paper trail,0.3720419124849992
5077,Arkansas,Lee County,8985,0.0034501947690595437,16.44,Paper and DRE with paper trail,0.3720419124849992
5079,Arkansas,Lincoln County,13383,0.0022416498542927594,16.23,Paper and DRE with paper trail,0.3720419124849992
5081,Arkansas,Little River County,12326,0.0036508194061333765,24.75,Paper and DRE with paper trail,0.3720419124849992
5083,Arkansas,Logan County,21737,0.002024198371440401,31.57,Paper and DRE with paper trail,0.3720419124849992
5085,Arkansas,Lonoke County,73657,0.0019957369971625237,88.69,Paper and DRE with paper trail,0.3720419124849992
5087,Arkansas,Madison County,16481,0.005460833687276258,18.84,Paper and DRE with paper trail,0.3720419124849992
5089,Arkansas,Marion County,16722,0.0009568233464896543,27.89,Paper and DRE with paper trail,0.3720419124849992
5091,Arkansas,Miller County,43592,0.004542117819783447,69.47,Paper and DRE with paper trail,0.3720419124849992
5093,Arkansas,Mississippi County,41239,0.0034675913576953854,51.61,Paper and DRE with paper trail,0.3720419124849992
5095,Arkansas,Monroe County,6900,0.005072463768115942,13.42,Paper and DRE with paper trail,0.3720419124849992
5097,Arkansas,Montgomery County,8924,0.004818467055132228,12.16,Paper and DRE with paper trail,0.3720419124849992
5099,Arkansas,Nevada County,8326,0.0033629594042757626,14.56,Paper and DRE with paper trail,0.3720419124849992
5101,Arkansas,Newton County,7805,0.0007687379884689302,10.15,Paper and DRE with paper trail,0.3720419124849992
5103,Arkansas,Ouachita County,23606,0.0050410912479878,35.64,Paper and DRE with paper trail,0.3720419124849992
5105,Arkansas,Perry County,10352,0.0007727975270479134,18.94,Paper and DRE with paper trail,0.3720419124849992
5107,Arkansas,Phillips County,18029,0.007044206556104054,31.28,Paper and DRE with paper trail,0.3720419124849992
5109,Arkansas,Pike County,10673,0.00206127611730535,18.8,Paper and DRE with paper trail,0.3720419124849992
5111,Arkansas,Poinsett County,23974,0.0029198298156336033,32.41,Paper and DRE with paper trail,0.3720419124849992
5113,Arkansas,Polk County,20049,0.0017457229787021797,24.09,Paper and DRE with paper trail,0.3720419124849992
5115,Arkansas,Pope County,64000,0.002578125,76.0,Paper and DRE with paper trail,0.3720419124849992
5117,Arkansas,Prairie County,8074,0.0013623978201634877,13.45,Paper and DRE with paper trail,0.3720419124849992
5119,Arkansas,Pulaski County,392680,0.004184068452684119,503.77,Paper and DRE with paper trail,0.3720419124849992
5121,Arkansas,Randolph County,17948,0.0007243146868731892,27.55,Paper and DRE with paper trail,0.3720419124849992
5123,Arkansas,St. Francis County,25439,0.007744015094932977,44.52,Paper and DRE with paper trail,0.3720419124849992
5125,Arkansas,Saline County,121421,0.002100130949341547,148.03,Paper and DRE with paper trail,0.3720419124849992
5127,Arkansas,Scott County,10319,0.0018412636883418936,12.59,Paper and DRE with paper trail,0.3720419124849992
5129,Arkansas,Searcy County,7958,0.0021362151294295048,12.3,Paper and DRE with paper trail,0.3720419124849992
5131,Arkansas,Sebastian County,127753,0.004743528527705807,236.4,Paper and DRE with paper trail,0.3720419124849992
5133,Arkansas,Sevier County,17139,0.006126378435147908,30.18,Paper and DRE with paper trail,0.3720419124849992
5135,Arkansas,Sharp County,17366,0.001324427041345157,28.56,Paper and DRE with paper trail,0.3720419124849992
5137,Arkansas,Stone County,12457,0.0011238660993818737,20.44,Paper and DRE with paper trail,0.3720419124849992
5139,Arkansas,Union County,39126,0.003501507948678628,40.07,Paper and DRE with paper trail,0.3720419124849992
5141,Arkansas,Van Buren County,16603,0.0010239113413238572,24.42,Paper and DRE with paper trail,0.3720419124849992
5143,Arkansas,Washington County,236961,0.003861394913086964,215.58,Paper and DRE with paper trail,0.3720419124849992
5145,Arkansas,White County,78727,0.0017274886633556468,74.46,Paper and DRE with paper trail,0.3720419124849992
5147,Arkansas,Woodruff County,6490,0.003852080123266564,12.37,Paper and DRE with paper trail,0.3720419124849992
5149,Arkansas,Yell County,21535,0.004736475504991873,23.86,Paper and DRE with paper trail,0.3720419124849992
6001,California,Alameda County,1666753,0.012846534549510335,2043.62,Paper and DRE with paper trail,0.3550948082890239
6003,California,Alpine County,1101,0.007266121707538601,1.59,Paper and DRE with paper trail,0.3550948082890239
6005,California,Amador County,39383,0.004291191630906736,64.06,Paper and DRE with paper trail,0.3550948082890239
6007,California,Butte County,231256,0.004709067007991144,134.44,Paper and DRE with paper trail,0.3550948082890239
6009,California,Calaveras County,45602,0.003135827375992281,44.68,Paper and DRE with paper trail,0.3550948082890239
6011,California,Colusa County,21627,0.0061497202570860495,18.61,Paper and DRE with paper trail,0.3550948082890239
6013,California,Contra Costa County,1150215,0.012097738248936068,1465.25,Paper and DRE with paper trail,0.3550948082890239
6015,California,Del Norte County,27828,0.004743423889607589,28.43,Paper and DRE with paper trail,0.3550948082890239
6017,California,El Dorado County,190678,0.0028791994881423133,106.01,Paper and DRE with paper trail,0.3550948082890239
6019,California,Fresno County,994400,0.01544147224456959,156.17,Paper and DRE with paper trail,0.3550948082890239
6021,California,Glenn County,28047,0.007309159624915321,21.4,Paper and DRE with paper trail,0.3550948082890239
6023,California,Humboldt County,136373,0.003974393758295264,37.73,Paper and DRE with paper trail,0.3550948082890239
6025,California,Imperial County,181827,0.011560439318693043,41.79,Paper and DRE with paper trail,0.3550948082890239
6027,California,Inyo County,17987,0.004892422304998054,1.82,Paper and DRE with paper trail,0.3550948082890239
6029,California,Kern County,896764,0.013926741037775825,103.25,Paper and DRE with paper trail,0.3550948082890239
6031,California,Kings County,151366,0.015769723716026057,110.1,Paper and DRE with paper trail,0.3550948082890239
6033,California,Lake County,64382,0.0056537541548880126,51.47,Paper and DRE with paper trail,0.3550948082890239
6035,California,Lassen County,30802,0.006785273683527044,7.68,Paper and DRE with paper trail,0.3550948082890239
6037,California,Los Angeles County,10105518,0.013232077761872275,2419.64,Paper and DRE with paper trail,0.3550948082890239
6039,California,Madera County,157672,0.011682480085240246,70.59,Paper and DRE with paper trail,0.3550948082890239
6041,California,Marin County,259666,0.0047715141759028905,485.12,Paper and DRE with paper trail,0.3550948082890239
6043,California,Mariposa County,17471,0.0033770247839276517,12.6,Paper and DRE with paper trail,0.3550948082890239
6045,California,Mendocino County,87606,0.005033901787548798,25.05,Paper and DRE with paper trail,0.3550948082890239
6047,California,Merced County,274765,0.014022892289774899,132.19,Paper and DRE with paper trail,0.3550948082890239
6049,California,Modoc County,8777,0.006038509741369488,2.47,Paper and DRE with paper trail,0.3550948082890239
6051,California,Mono County,14250,0.003719298245614035,4.66,Paper and DRE with paper trail,0.3550948082890239
6053,California,Monterey County,435594,0.012991455346033232,126.52,Paper and DRE with paper trail,0.3550948082890239
6055,California,Napa County,139417,0.006182890178385706,182.38,Paper and DRE with paper trail,0.3550948082890239
6057,California,Nevada County,99696,0.0020763119884448723,103.12,Paper and DRE with paper trail,0.3550948082890239
6059,California,Orange County,3185968,0.00650634281323604,3807.68,Paper and DRE with paper trail,0.3550948082890239
6061,California,Placer County,393149,0.0041002266316333,247.64,Paper and DRE with paper trail,0.3550948082890239
6063,California,Plumas County,18804,0.002393107849393746,7.84,Paper and DRE with paper trail,0.3550948082890239
6065,California,Riverside County,2450758,0.01477583670031884,303.84,Paper and DRE with paper trail,0.3550948082890239
6067,California,Sacramento County,1540975,0.017516831875922713,1470.79,Paper and DRE with paper trail,0.3550948082890239
6069,California,San Benito County,61537,0.010253993532346394,39.8,Paper and DRE with paper trail,0.3550948082890239
6071,California,San Bernardino County,2171603,0.017802517310944958,101.47,Paper and DRE with paper trail,0.3550948082890239
6073,California,San Diego County,3343364,0.011748945074481869,735.82,Paper and DRE with paper trail,0.3550948082890239
6075,California,San Francisco County,883305,0.007959877958349607,17179.16,Paper and DRE with paper trail,0.3550948082890239
6077,California,San Joaquin County,752660,0.017705205537692982,492.56,Paper and DRE with paper trail,0.3550948082890239
6079,California,San Luis Obispo County,284010,0.004922361888665892,81.74,Paper and DRE with paper trail,0.3550948082890239
6081,California,San Mateo County,769545,0.007126288910979865,1602.23,Paper and DRE with paper trail,0.3550948082890239
6083,California,Santa Barbara County,446527,0.00949550643074215,154.98,Paper and DRE with paper trail,0.3550948082890239
6085,California,Santa Clara County,1937570,0.007013940141517468,1381.01,Paper and DRE with paper trail,0.3550948082890239
6087,California,Santa Cruz County,274255,0.0073690543472315915,589.4,Paper and DRE with paper trail,0.3550948082890239
6089,California,Shasta County,180040,0.002866029771161964,46.94,Paper and DRE with paper trail,0.3550948082890239
6091,California,Sierra County,2987,0.004352192835621024,3.4,Paper and DRE with paper trail,0.3550948082890239
6093,California,Siskiyou County,43724,0.0029731954990394292,7.15,Paper and DRE with paper trail,0.3550948082890239
6095,California,Solano County,446610,0.017675376726898187,503.0,Paper and DRE with paper trail,0.3550948082890239
6097,California,Sonoma County,499942,0.007066819751091126,307.06,Paper and DRE with paper trail,0.3550948082890239
6099,California,Stanislaus County,549815,0.01157480243354583,344.16,Paper and DRE with paper trail,0.3550948082890239
6101,California,Sutter County,96807,0.008429142520685488,157.26,Paper and DRE with paper trail,0.3550948082890239
6103,California,Tehama County,63916,0.00428687652543964,21.52,Paper and DRE with paper trail,0.3550948082890239
6105,California,Trinity County,12535,0.004786597526924611,4.34,Paper and DRE with paper trail,0.3550948082890239
6107,California,Tulare County,465861,0.012160279568369107,91.66,Paper and DRE with paper trail,0.3550948082890239
6109,California,Tuolumne County,54539,0.003098700012834852,24.93,Paper and DRE with paper trail,0.3550948082890239
6111,California,Ventura County,850967,0.008506792860357687,446.69,Paper and DRE with paper trail,0.3550948082890239
6113,California,Yolo County,220408,0.00831185800878371,197.94,Paper and DRE with paper trail,0.3550948082890239
6115,California,Yuba County,78041,0.01272408093181789,114.2,Paper and DRE with paper trail,0.3550948082890239
8001,Colorado,Adams County,511868,0.0107703548571116,378.2,Mail,0.4756196448360678
8003,Colorado,Alamosa County,16683,0.011089132650002997,21.37,Mail,0.4756196448360678
8005,Colorado,Arapahoe County,651215,0.012565742496717673,716.71,Mail,0.4756196448360678
8007,Colorado,Archuleta County,13765,0.0032691609153650564,8.95,Mail,0.4756196448360678
8009,Colorado,Baca County,3585,0.004741980474198048,1.48,Mail,0.4756196448360678
8011,Colorado,Bent County,5882,0.005610336620197212,4.3,Mail,0.4756196448360678
8013,Colorado,Boulder County,326078,0.0031556866761940396,405.58,Mail,0.4756196448360678
8014,Colorado,Broomfield County,69267,0.0031905524997473543,43.44,Mail,0.4756196448360678
8015,Colorado,Chaffee County,20027,0.0020971688220901784,539.11,Mail,0.4756196448360678
8017,Colorado,Cheyenne County,1876,0.0015991471215351812,1.81,Mail,0.4756196448360678
8019,Colorado,Clear Creek County,9605,0.001978136387298282,5.11,Mail,0.4756196448360678
8021,Colorado,Conejos County,8200,0.006951219512195122,20.89,Mail,0.4756196448360678
8023,Colorado,Costilla County,3828,0.014629049111807733,2.74,Mail,0.4756196448360678
8025,Colorado,Crowley County,5858,0.003584841242744964,4.75,Mail,0.4756196448360678
8027,Colorado,Custer County,4954,0.0026241421073879695,5.4,Mail,0.4756196448360678
8029,Colorado,Delta County,30953,0.0029076341550092074,41.9,Mail,0.4756196448360678
8031,Colorado,Denver County,716492,0.01265471212518772,525.51,Mail,0.4756196448360678
8033,Colorado,Dolores County,2074,0.0014464802314368371,13.49,Mail,0.4756196448360678
8035,Colorado,Douglas County,342776,0.0027744066095642637,267.53,Mail,0.4756196448360678
8037,Colorado,Eagle County,54993,0.006600840106922699,62.12,Mail,0.4756196448360678
8039,Colorado,Elbert County,26282,0.0018263450270146868,13.7,Mail,0.4756196448360678
8041,Colorado,El Paso County,713856,0.012963398780706473,336.2,Mail,0.4756196448360678
8043,Colorado,Fremont County,48021,0.0020199496053809793,22.02,Mail,0.4756196448360678
8045,Colorado,Garfield County,59770,0.007478668228208131,36.78,Mail,0.4756196448360678
8047,Colorado,Gilpin County,6121,0.0027773239666721125,1.85,Mail,0.4756196448360678
8049,Colorado,Grand County,15525,0.0025764895330112722,99.02,Mail,0.4756196448360678
8051,Colorado,Gunnison County,17246,0.0020294561057636554,8.3,Mail,0.4756196448360678
8053,Colorado,Hinsdale County,811,0.0012330456226880395,0.26,Mail,0.4756196448360678
8055,Colorado,Huerfano County,6889,0.007983742197706489,6.01,Mail,0.4756196448360678
8057,Colorado,Jackson County,1399,0.0028591851322373124,0.88,Mail,0.4756196448360678
8059,Colorado,Jefferson County,580233,0.004187972762666033,331.25,Mail,0.4756196448360678
8061,Colorado,Kiowa County,1383,0.004338394793926247,1.83,Mail,0.4756196448360678
8063,Colorado,Kit Carson County,7163,0.0037693703755409744,4.68,Mail,0.4756196448360678
8065,Colorado,Lake County,7824,0.005879345603271984,3.38,Mail,0.4756196448360678
